Company,Industry,CPT Friendly,CPT Onboard,CPT Agreement,Actions
Redwitzc,Accounting,✓,✓,Supporting,Details  Update
Rivian,Automotive,✓,✓,Supporting,Details  Update
Salesforce,Computer/Software/Technology,✗,✗,Not Supporting,Details  Update
Samsung,Computer/Software/Technology,✗,✗,Not Supporting,Details  Update
Santander,Banking/Finance,✓,✓,Supporting,Details  Update
Schools First Credit Union,Banking/Finance,✗,✗,Unknown,Details  Update
ServiceNow,Computer/Software/Technology,✗,✗,Not Supporting,Details  Update
Skyhawks Sports Academy,Social Service,✗,✗,Unknown,Details  Update
Smule,Entertainment,✓,✓,Supporting,Details  Update
Snap Inc.,Computer/Software/Technology,✓,✓,Supporting,Details  Update
snowflake,Computer/Software/Technology,✓,✗,Not Supporting,Details  Update
splunk,Computer/Software/Technology,✗,✗,Not Supporting,Details  Update
State Street,Banking/Finance,✗,✗,Not Supporting,Details  Update
Sylvan Learning,Education,✓,✓,Supporting,Details  Update
T-Mobile Inc,Telecommunications,✓,✗,Supporting,Details  Update
Takeda,Pharmaceutical,✓,✗,Unknown,Details  Update
Tax Rise,Accounting,✓,✓,Supporting,Details  Update
TD Bank,Banking/Finance,✗,✗,Not Supporting,Details  Update
Tesla,Automotive,✗,✗,Supporting,Details  Update
Thomson Reuters,Media,✓,✓,Depends,Details  Update
TikTok,Computer/Software/Technology,✗,✗,Not Supporting,Details  Update
Townli,Marketing,✓,✓,Supporting,Details  Update
transconnect,Computer/Software/Technology,✓,✓,Supporting,Details  Update
TUSA,Office Administration,✓,✓,Supporting,Details  Update
Uber,Computer/Software/Technology,✗,✗,Not Supporting,Details  Update
UBS,Banking/Finance,✓,✗,Supporting,Details  Update
"University of California Riverside, Bourns College",Banking/Finance,✓,✓,Supporting,Details  Update
Unlimited Possibilities,Healthcare,✗,✗,Unknown,Details  Update
Visa,Banking/Finance,✗,✗,Unknown,Details  Update
Volt,Office Administration,✓,✓,Supporting,Details  Update
Walmart Labs,E-commerce,✓,✗,Supporting,Details  Update
West Coast Consulting,Computer/Software/Technology,✓,✓,Supporting,Details  Update
WeWork,Real Estate,✓,✓,Unknown,Details  Update
Wyndham Destinations,Hospitality,✗,✗,Unknown,Details  Update
Xponential Fitness,Marketing,✓,✓,Supporting,Details  Update
Yahoo,Computer/Software/Technology,✗,✗,Not Supporting,Details  Update
ZS Associates,Management,✗,✗,Not Supporting,Details  Update
