Year,Total_Approvals,Total_Denials,Projected_Change_%
2015,288502,13073,-89.99999999999999
2016,357212,23032,-89.99999999999999
2017,373395,29856,-89.99999999999999
2018,334961,61346,-89.99999999999999
2019,389323,69513,-89.99999999999999
2020,426724,39915,-89.99999999999999
2021,475123,13467,-89.99999999999999
2022,466191,9586,-89.99999999999999
2023,176950,6350,-89.99999999999999
